Table 1
,neighbourhood,Ave. price per night ($AUD),,,,
,Yarra Ranges,246,,,,
,Bayside,225,,,,
,Casey,216,,,,
,Cardinia,167,,,,
,Stonnington,166,,,,
,Port Phillip,163,,,,
,Frankston,159,,,,
,Boroondara,157,,,,
,Melbourne,154,,,,
,Manningham,154,,,,
,Nillumbik,148,,,,
,Yarra,145,,,,
,Hobsons Bay,138,,,,
,Kingston,136,,,,
,Darebin,126,,,,
,Glen Eira,119,,,,
,Moonee Valley,110,,,,
,Banyule,109,,,,
,Maribyrnong,109,,,,
,Hume,109,,,,
,Knox,107,,,,
,Wyndham,106,,,,
,Moreland,106,,,,
,Monash,105,,,,
,Melton,103,,,,
,Maroondah,102,,,,
,Whitehorse,100,,,,
,Greater Dandenong,100,,,,
,Whittlesea,88,,,,
,Brimbank,79,,,,
